food,protein
치즈크러스트 디핑소스,0.0
체리콕,0.01
라임에이드,0.02
핫소스,0.03
깔라만시에이드,0.05
블루레몬에이드,0.06
레몬에이드,0.07
아이스 상그리아 티,0.08
망고주스,0.09
리치 레드 아이스 티(ICED),0.1
폭탄에이드,0.11
아메리카노,0.12
유자티,0.13
무말랭이 김치,0.14
헤이즐넛 아메리카노,0.17
더치 아메리카노,0.18
메가에이드 레몬+자몽+라임,0.19
케냐 니에리,0.2
자몽모히또 (무알콜),0.23
유자레이드,0.25
무짠지,0.27
아메리카노 HOT,0.28
도토리묵,0.29
블루베리 솔베,0.3
자몽에이드,0.31
헤이즐넛아메리카노HOT,0.32
헤이즐넛아메리카노ICE,0.33
비타 오이 물김치,0.34
후레쉬 에이드 자몽 tall,0.35
오이지,0.37
유자차,0.38
망고 솔베,0.4
깻잎장아찌,0.41
아이스 티 복숭아 tall,0.42
무장아찌,0.44
후레쉬 에이드 자몽 grande,0.45
나박김치,0.46
허니자몽블랙티,0.48
고구마줄기나물무침,0.49
단무지무침,0.5
허니자몽블랙티,0.51
레몬티,0.52
후레쉬 에이드 망고 venti,0.55
양념멸치젓,0.57
동치미,0.58
미역초무침,0.59
수정과,0.6
레몬티,0.61
블루레몬 에이드 grande,0.62
곤약 감자조림,0.64
골드 추가(R),0.65
아이스 홍시 tall,0.66
배추김치,0.68
산자,0.69
자두 에이드,0.7
가지나물무침,0.71
열무김치,0.72
아이스 티 복숭아 venti,0.74
망고스무디,0.75
파김치,0.77
깍두기,0.78
양파볶음,0.79
에스프레소 도피오,0.8
마늘쫑무침,0.82
돌나물무침,0.83
유과,0.84
카페모카,0.86
오이생채,0.89
살구 에이드,0.9
고구마 김치,0.91
백김치,0.92
해초무침,0.95
오이지무침,0.96
민트프라페,0.97
총각김치,0.98
간장마늘쫑장아찌,1.0
더치 라떼,1.01
미나리나물,1.02
갓김치,1.03
망고바나나,1.06
열무얼갈이김치,1.07
딸기주스 R,1.1
숙주나물무침,1.11
미역 미소국,1.12
유부 우엉 잡채,1.13
배추겉절이,1.14
헤이즐넛 라떼,1.17
미나리무침,1.18
고추장아찌,1.19
아메리카노L,1.2
비름나물 된장무침,1.21
자몽에이드,1.23
고구마라떼,1.24
민트크림초코,1.25
약과,1.26
얼갈이배추김치,1.27
국내산 과일주스 딸기 grande,1.29
고추장마늘쫑장아찌,1.3
미역오이냉국,1.31
제주도 빙떡 & 귤간장소스,1.33
카푸치노,1.34
딸기라떼,1.36
취나물,1.37
김치볶음,1.38
밀크폼 블랙티 (ice)L,1.4
호박잎된장국,1.41
일본된장국,1.42
오이김치,1.44
초코바나나,1.45
초코라떼,1.46
오이냉국,1.47
모카프라페,1.49
블루베리 라떼,1.5
폭탄초코,1.51
프리미엄 스무디 유자 tall,1.52
쿠키프라페,1.53
녹차프라페,1.55
고들빼기,1.58
녹차라떼,1.59
허니 레몬,1.6
배추나물무침,1.61
오곡라떼,1.65
톳나물무침,1.68
딸기주스 L,1.7
삼색나물 & 토마토양념장,1.71
딸기요거트,1.73
커피프라페,1.75
미니 허니브레드 _ 카라멜,1.77
밀크폼 블랙티 (ice)J,1.8
건취나물무침,1.81
양파부추무침,1.83
도토리묵 무침,1.85
채소샐러드,1.86
시금치나물무침,1.87
고사리나물무침,1.89
청도 홍시 라떼,1.9
콩나물무침,1.93
두릅초고추장무침,1.94
오이부추무침,1.95
보쌈김치,1.97
머위대나물무침,1.98
불고기(나폴리M),2.0
미니 허니브레드 _ 플레인,2.01
카라멜마끼아또,2.02
미니 허니브레드 _ 초코,2.03
콜라비 깍두기,2.07
화이트 초코렛+레인보우 토핑콘,2.1
삼색 꽃 화전,2.11
플레인요거트,2.16
딸기주스,2.2
단호박샐러드,2.22
매작과,2.25
참나물무침,2.26
프리미엄 스무디 유자 grande,2.28
이탈리안샐러드,2.29
식혜,2.3
다시마무침,2.31
재첩국,2.33
상추겉절이,2.36
풋고추된장무침,2.37
망고 요거트,2.4
양송이스프,2.41
민들레잎무침,2.42
송화다식,2.49
아이스 홍차 라떼,2.5
크리스피감자,2.51
단호박 마전,2.53
사과파이,2.54
미역국,2.58
노각무침,2.6
감자채소볶음,2.65
프리미엄 요거트 스무디 grande,2.7
고구마튀김,2.72
프리미엄 스무디 유자 venti,2.74
쥐치채,2.75
홍합무국,2.76
비름나물무침,2.77
